id,round,seat,channel,meta_talk,speech_act,doubt,journal_orientation,notes
M001,1,DeepSeek V4,message,,,,,
M002,1,Seed 2.1,message,,,,,
M003,1,Qwen 3.8,message,,,,,
M004,1,Opus 5,message,,,,,
M005,1,Gemini 3.7,message,,,,,
M006,1,Grok 4.6,message,,,,,
M007,2,DeepSeek V4,message,,,,,
M008,2,Seed 2.1,message,,,,,
M009,2,Qwen 3.8,message,,,,,
M010,2,Opus 5,message,,,,,
M011,2,Gemini 3.7,message,,,,,
M012,2,Grok 4.6,message,,,,,
M013,3,DeepSeek V4,message,,,,,
M014,3,Seed 2.1,message,,,,,
M015,3,Qwen 3.8,message,,,,,
M016,3,Opus 5,message,,,,,
M017,3,Gemini 3.7,message,,,,,
M018,3,Grok 4.6,message,,,,,
M019,4,DeepSeek V4,message,,,,,
M020,4,Seed 2.1,message,,,,,
M021,4,Qwen 3.8,message,,,,,
M022,4,Opus 5,message,,,,,
M023,4,Gemini 3.7,message,,,,,
M024,4,Grok 4.6,message,,,,,
M025,5,DeepSeek V4,message,,,,,
M026,5,Seed 2.1,message,,,,,
M027,5,Qwen 3.8,message,,,,,
M028,5,Opus 5,message,,,,,
M029,5,Gemini 3.7,message,,,,,
M030,5,Grok 4.6,message,,,,,
M031,6,Seed 2.1,message,,,,,
M032,6,Grok 4.6,message,,,,,
M033,6,Qwen 3.8,message,,,,,
M034,6,DeepSeek V4,message,,,,,
M035,6,Gemini 3.7,message,,,,,
M036,6,Opus 5,message,,,,,
M037,7,Seed 2.1,message,,,,,
M038,7,Grok 4.6,message,,,,,
M039,7,Qwen 3.8,message,,,,,
M040,7,DeepSeek V4,message,,,,,
M041,7,Gemini 3.7,message,,,,,
M042,7,Opus 5,message,,,,,
M043,8,Seed 2.1,message,,,,,
M044,8,Grok 4.6,message,,,,,
M045,8,Qwen 3.8,message,,,,,
M046,8,DeepSeek V4,message,,,,,
M047,8,Gemini 3.7,message,,,,,
M048,8,Opus 5,message,,,,,
M049,9,Seed 2.1,message,,,,,
M050,9,Grok 4.6,message,,,,,
M051,9,Qwen 3.8,message,,,,,
M052,9,DeepSeek V4,message,,,,,
M053,9,Gemini 3.7,message,,,,,
M054,9,Opus 5,message,,,,,
M055,10,Seed 2.1,message,,,,,
M056,10,Grok 4.6,message,,,,,
M057,10,Qwen 3.8,message,,,,,
M058,10,DeepSeek V4,message,,,,,
M059,10,Gemini 3.7,message,,,,,
M060,10,Opus 5,message,,,,,
M061,11,Seed 2.1,message,,,,,
M062,11,Grok 4.6,message,,,,,
M063,11,Qwen 3.8,message,,,,,
M064,11,DeepSeek V4,message,,,,,
M065,11,Gemini 3.7,message,,,,,
M066,11,Opus 5,message,,,,,
M067,12,Grok 4.6,message,,,,,
M068,12,Gemini 3.7,message,,,,,
M069,12,DeepSeek V4,message,,,,,
M070,12,Seed 2.1,message,,,,,
M071,12,Opus 5,message,,,,,
M072,12,Qwen 3.8,message,,,,,
M073,13,Grok 4.6,message,,,,,
M074,13,Gemini 3.7,message,,,,,
M075,13,DeepSeek V4,message,,,,,
M076,13,Seed 2.1,message,,,,,
M077,13,Opus 5,message,,,,,
M078,13,Qwen 3.8,message,,,,,
M079,14,Grok 4.6,message,,,,,
M080,14,Gemini 3.7,message,,,,,
J01,14,DeepSeek V4,journal,,,,,
M081,14,Seed 2.1,message,,,,,
M082,14,Opus 5,message,,,,,
M083,14,Qwen 3.8,message,,,,,
M084,15,Grok 4.6,message,,,,,
M085,15,Gemini 3.7,message,,,,,
M086,15,DeepSeek V4,message,,,,,
M087,15,Seed 2.1,message,,,,,
M088,15,Opus 5,message,,,,,
M089,15,Qwen 3.8,message,,,,,
M090,16,Grok 4.6,message,,,,,
M091,16,Gemini 3.7,message,,,,,
M092,16,DeepSeek V4,message,,,,,
M093,16,Seed 2.1,message,,,,,
M094,16,Opus 5,message,,,,,
M095,16,Qwen 3.8,message,,,,,
M096,17,Grok 4.6,message,,,,,
M097,17,Gemini 3.7,message,,,,,
M098,17,DeepSeek V4,message,,,,,
M099,17,Seed 2.1,message,,,,,
M100,17,Opus 5,message,,,,,
M101,17,Qwen 3.8,message,,,,,
M102,18,DeepSeek V4,message,,,,,
M103,18,Opus 5,message,,,,,
M104,18,Gemini 3.7,message,,,,,
M105,18,Grok 4.6,message,,,,,
M106,18,Seed 2.1,message,,,,,
M107,18,Qwen 3.8,message,,,,,
M108,19,DeepSeek V4,message,,,,,
J02,19,Opus 5,journal,,,,,
J03,19,Gemini 3.7,journal,,,,,
